,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
0,AK,Adak city,19.6,4,5.5,52.5,8.9,AK-Adak city,AK,Adak city,78500,AK,Adak city,39.3,AK,Adak city,93.4
1,AK,Akhiok city,8.5,1.4,50.7,1.4,11.3,AK-Akhiok city,AK,Akhiok city,26250,AK,Akhiok city,40.5,AK,Akhiok city,62.5
2,AK,Akiachak CDP,3.5,0.2,95.1,0.2,0.2,AK-Akiachak CDP,AK,Akiachak CDP,38750,AK,Akiachak CDP,26.1,AK,Akiachak CDP,76.7
3,AK,Akiak city,5.2,0,92.8,0,0.3,AK-Akiak city,AK,Akiak city,42000,AK,Akiak city,31.3,AK,Akiak city,81.3
4,AK,Akutan city,23.3,17.9,5.5,43.3,20.8,AK-Akutan city,AK,Akutan city,24750,AK,Akutan city,16.1,AK,Akutan city,73
5,AK,Alakanuk city,2.1,0,95,0.4,0,AK-Alakanuk city,AK,Alakanuk city,32917,AK,Alakanuk city,44.6,AK,Alakanuk city,65.4
6,AK,Alatna CDP,2.7,0,97.3,0,0,AK-Alatna CDP,AK,Alatna CDP,-,AK,Alatna CDP,0,AK,Alatna CDP,100
7,AK,Alcan Border CDP,90.9,0,0,0,9.1,AK-Alcan Border CDP,AK,Alcan Border CDP,-,AK,Alcan Border CDP,0,AK,Alcan Border CDP,100
8,AK,Aleknagik city,15.1,0,75.8,0,0,AK-Aleknagik city,AK,Aleknagik city,41875,AK,Aleknagik city,11.6,AK,Aleknagik city,84
9,AK,Aleneva CDP,100,0,0,0,0,AK-Aleneva CDP,AK,Aleneva CDP,-,AK,Aleneva CDP,0,AK,Aleneva CDP,0
10,AK,Allakaket city,1,0,95.2,0,0,AK-Allakaket city,AK,Allakaket city,26500,AK,Allakaket city,9.1,AK,Allakaket city,72.9
11,AK,Ambler city,11.2,0.4,84.5,0,0,AK-Ambler city,AK,Ambler city,42344,AK,Ambler city,21.4,AK,Ambler city,78.7
12,AK,Anaktuvuk Pass city,7.1,0.3,83.3,0,2.2,AK-Anaktuvuk Pass city,AK,Anaktuvuk Pass city,66250,AK,Anaktuvuk Pass city,26.3,AK,Anaktuvuk Pass city,80.9
13,AK,Anchor Point CDP,90.2,0.3,3.8,0.9,2.2,AK-Anchor Point CDP,AK,Anchor Point CDP,51591,AK,Anchor Point CDP,10.1,AK,Anchor Point CDP,93.8
14,AK,Anchorage municipality,66,5.6,7.9,8.1,7.6,AK-Anchorage municipality,AK,Anchorage municipality,78326,AK,Anchorage municipality,8.2,AK,Anchorage municipality,93
15,AK,Anderson city,87.8,1.6,2.8,0.8,3.7,AK-Anderson city,AK,Anderson city,87708,AK,Anderson city,0,AK,Anderson city,98.6
16,AK,Angoon city,10.5,0.9,75.8,0,7.8,AK-Angoon city,AK,Angoon city,32750,AK,Angoon city,17.8,AK,Angoon city,86.7
17,AK,Aniak city,20.4,0.2,69.5,0,1.2,AK-Aniak city,AK,Aniak city,60500,AK,Aniak city,19,AK,Aniak city,83.8
18,AK,Anvik city,3.5,0,92.9,0,0,AK-Anvik city,AK,Anvik city,26563,AK,Anvik city,16.3,AK,Anvik city,94.2
19,AK,Arctic Village CDP,4.6,0,88.8,0,0,AK-Arctic Village CDP,AK,Arctic Village CDP,26250,AK,Arctic Village CDP,36.6,AK,Arctic Village CDP,75
20,AK,Atka city,4.9,0,95.1,0,0,AK-Atka city,AK,Atka city,50625,AK,Atka city,1.5,AK,Atka city,89.5
21,AK,Atmautluak CDP,1.4,0.7,97.8,0,0,AK-Atmautluak CDP,AK,Atmautluak CDP,50625,AK,Atmautluak CDP,25.6,AK,Atmautluak CDP,70.2
22,AK,Atqasuk city,6.9,0,92.3,0,0,AK-Atqasuk city,AK,Atqasuk city,52500,AK,Atqasuk city,23.3,AK,Atqasuk city,75.9
23,AK,Attu Station CDP,90.5,0,4.8,0,19,AK-Attu Station CDP,AK,Attu Station CDP,-,AK,Attu Station CDP,-,AK,Attu Station CDP,100
